place_id,name,locality,rating,user_ratings_total,cuisines,primary_category
ChIJD8HbPvC55zsRMcCFrQKRhPo,Persiana Hyderabadi Biryani,Apna Bazar,3.9,1183.0,"Catering Service, Chinese, Food Delivery, Hotel, Indian, Lodging, Restaurant, Takeaway",Indian
ChIJEX2Bhey75zsRwxUaNWS5oZo,"Fish Bazaar - Fresh Fish in Thane, Kolshet ,Hiranandani, Brahmand",Apna Bazar,4.2,32.0,"Market, Restaurant, Seafood, Takeaway",Seafood
ChIJCcoSaIG55zsR-qW_oEIYGlM,House Of Biryani,Apna Bazar,3.5,66.0,"Restaurant, Takeaway",Restaurant (General)
ChIJWQ3iOcm55zsRjVo5I-k51jM,Deliure & The Eatrium,Apna Bazar,3.9,277.0,"Bakery, Fast Food Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJSasnFj-55zsR8E2VDfH6M5Y,Gaurav Sweets and Namkeen - Vasant Vihar Thane,Apna Bazar,3.9,825.0,"Bakery, Confectionery, Fast Food Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJHekE03y55zsR7-RQ571-nfU,The Belgian Waffle Co,Apna Bazar,4.4,164.0,"Bakery, Cafe, Confectionery, Dessert, Dessert Restaurant, Food Store, Ice Cream, Restaurant, Wholesaler",Cafe
ChIJ3xJ2Bg655zsRHdmyORmPNgg,FNP: Ferns and Petals thane,Apna Bazar,4.4,107.0,"Bakery, Food Store, Home Goods Store, Wholesaler",Bakery
ChIJPaMUuUW55zsRTT1DeUwNmXo,"FNP Cakes - Cake and Gift Hampers in Thane West, Thane",Apna Bazar,4.8,262.0,"Bakery, Cafe, Confectionery, Dessert, Food Store, Wholesaler",Cafe
ChIJq-alcTy55zsReh1M-0nWQ3g,"The Dessert Emporium - French Patisserie, Designer Cakes, Cafe, Desserts",Apna Bazar,4.0,105.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJ9zJX8Fq55zsR8s1gOQvzwck,Monginis Cake Shop,Apna Bazar,4.0,246.0,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJax4rrEa55zsRmf4CxGnoOKI,Monginis Cake Shop,Apna Bazar,4.7,180.0,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJcY1lgD-55zsRSZOpilh7odY,McDonald's,Thane Bazar,4.3,3439.0,"Breakfast, Cafe, Coffee, Confectionery, Delivery, Dessert, Fast Food Restaurant, Food Delivery, Food Store, Restaurant",Cafe
ChIJSQipcgC55zsRmi-Slk4MMSU,KFC,Thane Bazar,4.6,503.0,"Fast Food Restaurant, Restaurant, Takeaway",Fast Food
ChIJBxVtldHO5zsRHa8Faqv7Fms,Chheda Dryfruits,Mahim,4.3,256.0,"Bakery, Candy Store, Confectionery, Food Delivery, Food Store, Wholesaler",Bakery
ChIJX0ZsWADP5zsRHveSdQirHto,Bomdia,C G S Colony,4.5,379.0,"Restaurant, Vegetarian Restaurant",Restaurant (General)
ChIJ7-49g8nP5zsRCJcMK6NZtPo,TAB -Take A Break,C G S Colony,4.3,148.0,Cafe,Cafe
ChIJOXvELFLP5zsRufwIQz5cPE8,Chai Sutta Bar,C G S Colony,4.3,1260.0,"Cafe, Restaurant",Cafe
ChIJgdYAM9_O5zsRNOZIt-A7Nvo,PERVIZ HALL Dadar Parsi Youths Assembly Snacks Centre,C G S Colony,4.4,106.0,"Bakery, Food Store",Bakery
ChIJ0dAoewDP5zsR88yauESZs3o,Mumbai Rejoice,Wadala,4.6,687.0,"Indian, Restaurant, Vegetarian Restaurant",Indian
ChIJa9MDrdHO5zsRI6--T9RUyw8,Melroy's Tasty Food Parlour,Wadala,4.4,131.0,"Restaurant, Takeaway",Restaurant (General)
ChIJd-G2HwDJ5zsRTrJrA_ESL6U,Mokai Cafe,Bandra West,4.4,1320.0,"Asian Restaurant, Cafe, Coffee, Food Store, Restaurant",Cafe
ChIJtf38uhPJ5zsR__cN3Usa_EY,Mini Punjab's Bandra,Bandra West,3.9,4876.0,"Indian, Restaurant",Indian
